IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
121.242.124.2,2023-12-16,10:26:52 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,10:44:32 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,10:53:04 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
157.51.164.253,2023-12-16,10:55:56 UTC,necessary,desktop,en,Edge,Windows,India,TN,Tamil Nadu,Chennai,600021,12.8996,80.2209
121.242.124.2,2023-12-16,11:13:04 UTC,necessary,desktop,en,Edge,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,11:44:14 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,12:09:15 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,12:17:19 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,12:22:47 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-16,12:27:01 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-18,10:40:03 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-18,11:00:20 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-18,13:40:05 UTC,necessary,desktop,en,Chrome,Windows,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
121.242.124.2,2023-12-18,14:10:19 UTC,necessary,mobile,en,Chrome,Android,India,TN,Tamil Nadu,Chennai,600001,12.8996,80.2209
